name,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,2007,"80,000","45,000 kms",Petrol
Mahindra Jeep CL550 MDI,2006,"4,25,000",40 kms,Diesel
Maruti Suzuki Alto 800 Vxi,2018,Ask For Price,"22,000 kms",Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,2014,"3,25,000","28,000 kms",Petrol
Ford EcoSport Titanium 1.5L TDCi,2014,"5,75,000","36,000 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,2015,Ask For Price,"59,000 kms",Diesel
Ford Figo,2012,"1,75,000","41,000 kms",Diesel
Hyundai Eon,2013,"1,90,000","25,000 kms",Petrol
Ford EcoSport Ambiente 1.5L TDCi,2016,"8,30,000","24,530 kms",Diesel
Maruti Suzuki Alto K10 VXi AMT,2015,"2,50,000","60,000 kms",Petrol
Skoda Fabia Classic 1.2 MPI,2010,"1,82,000","60,000 kms",Petrol
Maruti Suzuki Stingray VXi,2015,"3,15,000","30,000 kms",Petrol
Hyundai Elite i20 Magna 1.2,2014,"4,15,000","32,000 kms",Petrol
Mahindra Scorpio SLE BS IV,2015,"3,20,000","48,660 kms",Diesel
Hyundai Santro Xing XO eRLX Euro III,2007,"80,000","45,000 kms",Petrol
Mahindra Jeep CL550 MDI,2006,"4,25,000",40 kms,Diesel
Audi A8,2017,"10,00,000","4,000 kms",Petrol
Audi Q7,2014,"5,00,000","16,934 kms",Diesel
Mahindra Scorpio S10,2016,"3,50,000","43,000 kms",Diesel
Maruti Suzuki Alto 800,2014,"1,60,000","35,550 kms",Petrol
Mahindra Scorpio S10,2016,"3,50,000","43,000 kms",Diesel
Mahindra Scorpio S10,2016,"3,10,000","39,522 kms",Diesel
Maruti Suzuki Alto 800 Vxi,2015,"75,000","39,000 kms",Petrol
Hyundai i20 Sportz 1.2,2012,"1,00,000","55,000 kms",Petrol
Hyundai i20 Sportz 1.2,2012,"1,00,000","55,000 kms",Petrol
Hyundai i20 Sportz 1.2,2012,"1,00,000","55,000 kms",Petrol
Maruti Suzuki Alto 800 Lx,2017,"1,90,000","72,000 kms",Petrol
Maruti Suzuki Vitara Brezza ZDi,2016,"2,90,000","15,975 kms",Diesel
Maruti Suzuki Alto LX,2008,"95,000","70,000 kms",Petrol
Mahindra Bolero DI,2017,"1,80,000","23,452 kms",Diesel
Maruti Suzuki Swift Dzire ZDi,2014,"3,85,000","35,522 kms",Diesel
Mahindra Scorpio S10 4WD,2015,"2,50,000","48,508 kms",Diesel
Maruti Suzuki Swift Vdi BSIII,2017,"1,80,000","15,487 kms",Petrol
Maruti Suzuki Wagon R VXi BS III,2013,"1,05,000","39,000 kms",Petrol
Maruti Suzuki Wagon R VXi Minor,2013,"1,05,000","39,000 kms",Petrol
Toyota Innova 2.0 G 8 STR BS IV,2012,"6,50,000","82,000 kms",Diesel
Renault Lodgy 85 PS RXL,2018,"6,89,999","20,000 kms",Diesel
Skoda Yeti Ambition 2.0 TDI CR 4x2,2012,"4,48,000","68,000 kms",Diesel
Maruti Suzuki Baleno Delta 1.2,2017,"5,49,000","32,000 kms",Diesel
Renault Duster 110 PS RxZ Diesel Plus,2012,"5,01,000","38,000 kms",Diesel
Renault Duster 85 PS RxE Diesel,2013,"4,89,999","27,000 kms",Diesel
Honda City 1.5 S MT,2011,"2,80,000","33,000 kms",Petrol
Maruti Suzuki Alto K10 VXi AMT,2015,"2,50,000","60,000 kms",Petrol
Maruti Suzuki Dzire,2013,"3,49,999","46,000 kms",Diesel
Honda Amaze,2013,"2,84,999","46,000 kms",Diesel
Honda Amaze 1.5 SX i DTEC,2015,"3,45,000","36,000 kms",Diesel
Honda City,2015,"4,99,999","55,000 kms",Petrol
Datsun Redi GO S,2017,"2,35,000","16,000 kms",Petrol
Maruti Suzuki SX4 ZXI MT,2010,"2,49,999","36,000 kms",Petrol
Mitsubishi Pajero Sport Limited Edition,2015,"14,75,000","47,000 kms",Diesel
Mahindra Bolero DI,2017,"1,80,000","23,452 kms",Diesel
Maruti Suzuki Swift Dzire ZDi,2014,"3,85,000","35,522 kms",Diesel
Mahindra Scorpio S10 4WD,2015,"2,50,000","48,508 kms",Diesel
Maruti Suzuki Swift Vdi BSIII,2017,"1,80,000","15,487 kms",Petrol
Maruti Suzuki Wagon R VXi BS III,2013,"1,05,000","39,000 kms",Petrol
Maruti Suzuki Wagon R VXi Minor,2013,"1,05,000","39,000 kms",Petrol
Mahindra Scorpio S10,2015,"3,95,000","35,000 kms",Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,2017,"2,20,000","30,874 kms",Petrol
Honda City ZX CVT,2017,"1,70,000","15,000 kms",Diesel
Maruti Suzuki Wagon R LX BS IV,2013,"85,000","29,685 kms",Petrol
Ford Figo,2012,"1,75,000","41,000 kms",Diesel
Hyundai Eon,2013,"1,90,000","25,000 kms",Petrol
Tata Indigo eCS LS CR4 BS IV,2017,"2,00,000","1,30,000 kms",Diesel
Ford EcoSport Ambiente 1.5L TDCi,2016,"8,30,000","24,530 kms",Diesel
Tata Indigo eCS LS CR4 BS IV,2017,"2,00,000","1,30,000 kms",Diesel
Mahindra Scorpio SLE BS IV,2012,"5,70,000","19,000 kms",Diesel
Volkswagen Polo Highline Exquisite P,2014,"3,15,000","60,000 kms",Petrol
Skoda Fabia Classic 1.2 MPI,2010,"1,82,000","60,000 kms",Petrol
Maruti Suzuki Stingray VXi,2015,"3,15,000","30,000 kms",Petrol
I want to sell my car Tata Zest,2017,Ask For Price,,
Chevrolet Spark LS 1.0,2010,"1,10,000","41,000 kms",Petrol
Renault Duster 110PS Diesel RxZ,2012,"5,01,000","35,000 kms",Diesel
Honda City,2015,"4,48,999","54,000 kms",Petrol
Mini Cooper S 1.6,2013,"18,91,111","13,000 kms",Petrol
Datsun Redi GO S,2017,"2,35,000","16,000 kms",Petrol
Skoda Fabia 1.2L Diesel Ambiente,2011,"1,59,500","38,200 kms",Diesel
Honda Amaze,2015,"3,44,999","22,000 kms",Petrol
Honda Amaze,2015,"3,44,999","22,000 kms",Petrol
Renault Duster,2014,"4,49,999","50,000 kms",Diesel
Mini Cooper S 1.6,2013,"18,91,111","13,500 kms",Petrol
Mahindra Scorpio S4,2015,"8,65,000","30,000 kms",Diesel
Mahindra Scorpio VLX 2WD BS IV,2014,"6,99,000","50,000 kms",Diesel
Mahindra Quanto C8,2013,"3,75,000","20,000 kms",Diesel
Ford EcoSport,2017,"4,89,999","39,000 kms",Petrol
Honda Brio,2012,"2,24,999","30,000 kms",Petrol
I want to sell my car Tata Zest,2017,Ask For Price,,
Volkswagen Vento Highline Plus 1.5 Diesel AT,2019,"12,00,000","3,600 kms",Diesel
Hyundai i20 Magna,2009,"1,95,000","32,000 kms",Petrol
Toyota Corolla Altis Diesel D4DG,2010,"3,51,000","38,000 kms",Diesel
Hyundai Verna Transform SX VTVT,2008,"1,60,000","45,000 kms",Petrol
Toyota Corolla Altis Petrol Ltd,2009,"2,40,000","35,000 kms",Petrol
Honda City 1.5 EXi New,2005,"90,000","50,000 kms",Petrol
Hyundai Elite i20 Magna 1.2,2014,"4,15,000","32,000 kms",Petrol
Skoda Fabia 1.2L Diesel Elegance,2011,"1,55,000","45,863 kms",Diesel
BMW 3 Series 320i,2011,"6,00,000","60,500 kms",Petrol
Maruti Suzuki A Star Lxi,2011,"1,89,500","12,500 kms",Petrol
Toyota Etios GD,2013,"3,50,000","60,000 kms",Diesel
Ford Figo Diesel EXI Option,2012,"2,10,000","35,000 kms",Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2014,"3,90,000","35,000 kms",Petrol
Chevrolet Beat LT Diesel,2012,"1,35,000","45,000 kms",Diesel
BMW 7 Series 740Li Sedan,2009,"16,00,000","35,000 kms",Petrol
Mahindra XUV500 W8 AWD 2013,2013,"7,01,000","38,000 kms",Diesel
Hyundai i10 Magna 1.2,2014,"2,65,000","18,000 kms",Petrol
Hyundai Verna Fluidic New,2015,"5,25,000","35,000 kms",Diesel
Maruti Suzuki Swift VXi 1.2 BS IV,2013,"3,72,000","13,349 kms",Petrol
Maruti Suzuki Ertiga ZXI Plus,2016,"6,35,000","29,000 kms",Petrol
Ford EcoSport Titanium 1.5L TDCi,2014,"5,50,000","44,000 kms",Diesel
Maruti Suzuki Ertiga Vxi,2016,"5,75,000","29,000 kms",Petrol
Maruti Suzuki Ertiga VDi,2013,"4,85,000","42,000 kms",Diesel
Maruti Suzuki Alto LXi BS III,2012,"1,55,000","14,000 kms",Petrol
Hyundai Grand i10 Asta 1.1 CRDi,2014,"3,45,000","49,000 kms",Diesel
Honda Amaze 1.2 S i VTEC,2014,"3,25,000","42,000 kms",Petrol
Hyundai i20 Asta 1.4 CRDI 6 Speed,2012,"3,29,500","36,200 kms",Diesel
Ford Figo Diesel EXI,2014,"1,95,000","50,000 kms",Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,2015,"2,51,111","55,000 kms",Petrol
Maruti Suzuki Ertiga ZXi,2014,"5,69,999","45,000 kms",Petrol
Maruti Suzuki Esteem LXi BS III,2007,"69,999","51,000 kms",Petrol
Maruti Suzuki Ritz VXI,2014,"2,99,999","19,000 kms",Petrol
Maruti Suzuki Dzire,2009,"2,20,000","46,000 kms",Petrol
Maruti Suzuki Ritz LDi,2013,"3,99,999","33,000 kms",Diesel
Maruti Suzuki Swift VXi 1.2 BS IV,2013,"3,72,000","13,349 kms",Petrol
Maruti Suzuki Dzire VDI,2015,"4,50,000","1,04,000 kms",Diesel
Toyota Etios Liva G,2014,"2,70,000","55,000 kms",Petrol
Hyundai i20 Sportz 1.4 CRDI,2011,"3,50,000","33,333 kms",Diesel
Chevrolet Spark,2012,"1,58,400","33,600 kms",Petrol
Maruti Suzuki Alto K10 VXi AMT,2017,"3,50,000","5,600 kms",Petrol
Nissan Micra XV,2011,"1,79,000","41,000 kms",Petrol
Maruti Suzuki Swift,2007,"1,25,000","70,000 kms",Petrol
Maruti Suzuki Alto 800,2018,"2,00,000","7,500 kms",Petrol
Honda Amaze 1.5 S i DTEC,2013,"2,99,000","45,000 kms",Diesel
Maruti Suzuki Alto 800 Vxi,2015,"2,20,000","38,000 kms",Petrol
Chevrolet Beat,2015,"1,50,000","30,000 kms",Petrol
Toyota Corolla,2009,"2,75,000","26,000 kms",
Honda City 1.5 V MT,2010,"2,85,000","35,000 kms",Petrol
Ford EcoSport Trend 1.5L TDCi,2016,"8,30,000","24,330 kms",Diesel
Hyundai i20 Asta 1.2,2009,"2,10,000","65,480 kms",Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2013,"3,40,000","41,000 kms",Petrol
Tata Indica V2 eLS,2006,"90,000","20,000 kms",Petrol
Maruti Suzuki Alto 800 Lxi,2018,Ask For Price,"28,028 kms",Petrol
Hindustan Motors Ambassador,2000,"70,000","2,00,000 kms",Diesel
Toyota Corolla Altis 1.8 GL,2010,"2,89,999","70,000 kms",Petrol
Toyota Corolla Altis 1.8 J,2012,"3,49,999","59,000 kms",Petrol
Toyota Innova 2.5 GX BS IV 7 STR,2012,"8,49,999","99,000 kms",Diesel
Volkswagen Jetta Highline TDI AT,2014,"7,49,999","46,000 kms",Diesel
Volkswagen Polo Comfortline 1.2L P,2015,"3,99,999","2,800 kms",Petrol
Volkswagen Polo,2014,"2,74,999","32,000 kms",Petrol
Mahindra Scorpio,2015,"9,84,999","22,000 kms",Diesel
Renault Duster,2014,"4,49,999","50,000 kms",Diesel
Honda Amaze,2015,"3,44,999","22,000 kms",Petrol
Nissan Sunny,2012,"2,24,999","45,000 kms",Petrol
Hyundai Elite i20,2018,"5,99,999","21,000 kms",Petrol
Renault Kwid,2016,"2,44,999","11,000 kms",Petrol
Renault Duster,2013,"3,99,999","41,000 kms",Diesel
Ford EcoSport,2017,"4,89,999","39,000 kms",Petrol
Renault Duster,2014,"4,74,999","50,000 kms",Diesel
Mahindra Scorpio VLX Airbag,2011,"4,99,999","66,000 kms",Diesel
Maruti Suzuki Alto 800 Lxi,2018,"3,10,000","3,000 kms",Petrol
Chevrolet Spark LT 1.0,2010,"85,000","45,000 kms",Petrol
Datsun Redi GO T O,2016,"2,45,000","7,000 kms",Petrol
Maruti Suzuki Swift RS VDI,2010,"1,89,500","38,500 kms",Diesel
Fiat Punto Emotion 1.2,2012,"1,69,500","37,200 kms",Diesel
Maruti Suzuki Swift RS VDI,2010,"1,59,500","43,200 kms",Diesel
Toyota Etios GD,2013,"2,75,000","24,800 kms",Petrol
Hyundai i20 Sportz 1.4 CRDI,2014,"3,70,000","60,000 kms",Diesel
Hyundai i10 Sportz 1.2,2010,"1,68,000","45,872 kms",Petrol
Chevrolet Beat LT Opt Diesel,2011,"1,50,000","40,000 kms",Diesel
Chevrolet Beat LS Diesel,2011,"1,45,000","45,000 kms",Diesel
Chevrolet Beat LT Diesel,2012,"98,500","38,000 kms",Diesel
Mahindra Scorpio VLX 2WD BS IV,2014,"6,99,000","50,000 kms",Diesel
Tata Indigo CS,2011,"85,000","11,400 kms",Diesel
Toyota Corolla Altis 1.8 J,2015,"5,75,000","42,000 kms",Petrol
Honda City 1.5 V MT,2014,"5,49,000","39,000 kms",Petrol
Maruti Suzuki Swift VDi,2011,"2,09,000","47,000 kms",Diesel
Hyundai Eon Era Plus,2013,"1,85,000","27,000 kms",Petrol
Mahindra Scorpio S10,2015,"9,00,000","97,200 kms",Diesel
Mahindra XUV500,2014,"6,99,999","52,000 kms",Diesel
Honda Brio,2012,"2,24,999","30,000 kms",Petrol
Ford Fiesta,2011,"2,74,999","55,000 kms",Diesel
Honda Amaze,2013,"2,84,999","46,000 kms",Diesel
Honda City,2015,"5,99,999","30,000 kms",Diesel
Maruti Suzuki Wagon R,2012,"1,99,999","44,000 kms",Petrol
Honda City,2014,"5,44,999","45,000 kms",Diesel
Hyundai i20,2009,"1,99,000","31,000 kms",Petrol
Tata Indigo eCS LX TDI BS III,2016,"3,20,000","1,75,430 kms",Diesel
Hyundai Fluidic Verna 1.6 CRDi SX,2015,"5,40,000","38,000 kms",Diesel
"Commercial , DZire LDI, 2016, for sale",...,Ask For Price,,
Mahindra Quanto C8,2013,"3,40,000","37,000 kms",Diesel
Fiat Petra ELX 1.2 PS,2008,"75,000","65,000 kms",Petrol
Skoda Fabia 1.2L Diesel Ambiente,2011,"1,59,500","38,200 kms",Diesel
Mini Cooper S 1.6,2013,"18,91,111","13,000 kms",Petrol
Hyundai Santro Xing XS,2005,"49,000","7,500 kms",Petrol
Maruti Suzuki Ciaz VXi Plus,2016,"7,00,000","3,350 kms",Petrol
Maruti Suzuki Zen VX,2000,"55,000","60,000 kms",Petrol
Honda City,2015,"4,48,999","54,000 kms",Petrol
Hyundai Creta 1.6 SX Plus Petrol,2017,"8,95,000","32,000 kms",Petrol
"Tata indigo ecs LX, 201",150k,"1,50,000",,
Mahindra Scorpio SLX,2007,"3,55,000","75,000 kms",Diesel
Mahindra Scorpio SLE BS IV,2012,"5,65,000","62,000 kms",Diesel
Toyota Innova 2.5 G BS III 8 STR,2006,"3,65,000","73,000 kms",Diesel
Maruti Suzuki Alto K10 VXi AMT,2011,"1,45,000","41,000 kms",Petrol
Maruti Suzuki Wagon R LXI BS IV,2011,"2,10,000","35,000 kms",Petrol
Tata Nano Cx BSIV,2013,"40,000","2,200 kms",Petrol
Maruti Suzuki Alto Std BS IV,2013,"1,25,000","39,000 kms",Petrol
Maruti Suzuki Wagon R LXi BS III,2009,"1,35,000","45,000 kms",Petrol
Maruti Suzuki Swift VXI BSIII,2006,"1,35,000","45,000 kms",Petrol
Tata Sumo Victa EX 10 by 7 Str BSIII,2012,"2,85,000","65,000 kms",Diesel
MARUTI SUZUKI DESI,TOUR,"4,00,000",,
Maruti Suzuki Wagon R LXi BS III,2010,"1,45,000","54,870 kms",Petrol
Maruti Suzuki Alto LXi BS III,2010,"1,35,000","34,580 kms",Petrol
Volkswagen Passat Diesel Comfortline AT,2009,"4,50,000","97,000 kms",Diesel
Renault Scala RxL Diesel Travelogue,2015,"3,75,000","25,000 kms",Diesel
Mahindra Quanto C8,2013,"3,75,000","20,000 kms",Diesel
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,2014,"3,65,000","20,000 kms",Petrol
Hyundai i20 Active 1.2 SX,2015,"5,00,000","18,000 kms",Petrol
Mahindra Xylo E4,2012,"4,00,000","35,000 kms",Diesel
Mahindra Jeep MM 550 XDB,2019,"3,90,000",60 kms,Diesel
Renault Duster 110PS Diesel RxZ,2012,"5,01,000","35,000 kms",Diesel
Mahindra Bolero SLE BS IV,2013,"3,30,000","80,200 kms",Diesel
Force Motors Force One LX ABS 7 STR,2015,"5,80,000","3,200 kms",Diesel
Maruti Suzuki SX4,2012,"2,65,000","46,000 kms",Diesel
Mahindra Jeep CL550 MDI,2019,"3,79,000","0,000 kms",Diesel
Maruti Suzuki Alto 800,2015,"2,19,000","5,000 kms",Petrol
Mahindra Jeep CL550 MDI,2018,"3,85,000",588 kms,Diesel
Toyota Etios,2011,"2,75,000","36,000 kms",Diesel
Volkswagen Polo,2015,"3,30,000","38,000 kms",Diesel
Honda City ZX VTEC,2008,"1,10,000","45,000 kms",Petrol
Maruti Suzuki Wagon R LX BS III,2006,"80,000","71,200 kms",Petrol
Honda City VX O MT Diesel,2016,"5,19,000","52,000 kms",Diesel
Mahindra Thar CRDe 4x4 AC,2016,"7,30,000","29,000 kms",Diesel
Mitsubishi Pajero Sport Limited Edition,2015,"14,75,000","47,000 kms",Diesel
Audi A4 1.8 TFSI Multitronic Premium Plus,2009,"6,99,000","47,000 kms",Petrol
Mercedes Benz GLA Class 200 CDI Sport,2015,"20,00,000","20,000 kms",Diesel
Land Rover Freelander 2 SE,2015,"21,00,000","30,000 kms",Diesel
Renault Kwid RXT,2017,"3,40,000","5,000 kms",Petrol
Tata Aria Pleasure 4X2,2014,"3,90,000","35,000 kms",Diesel
Mercedes Benz B Class B180 Sports,2014,"14,00,000","31,000 kms",Petrol
Datsun GO T O,2016,"2,45,000","7,000 kms",Petrol
Tata Indigo eCS LX TDI BS III,2016,"3,20,000","1,75,430 kms",Diesel
Tata Indigo eCS LX TDI BS III,2016,"3,20,000","1,75,400 kms",Diesel
Honda Jazz VX MT,2016,"4,50,000","41,000 kms",Petrol
Honda Amaze 1.2 S i VTEC,2014,"3,11,000","33,000 kms",Petrol
Honda Amaze,2013,"2,84,999","46,000 kms",Diesel
Honda City,2012,"3,99,999","45,000 kms",Petrol
Honda City,2015,"5,99,999","39,000 kms",Diesel
Honda Amaze,2015,"3,44,999","22,000 kms",Petrol
Audi A4 1.8 TFSI Multitronic Premium Plus,2009,"6,99,000","47,000 kms",Petrol
Force Motors Force One LX ABS 7 STR,2015,"5,80,000","3,200 kms",Diesel
Mahindra Scorpio S4,2015,"8,55,000","30,000 kms",Diesel
Hyundai i20 Active 1.4L SX O,2015,"5,35,000","37,000 kms",Diesel
Mini Cooper S,2013,"18,91,111","13,000 kms",Petrol
Maruti Suzuki Ciaz ZXI Plus,2017,"6,99,000","14,000 kms",Petrol
Chevrolet Tavera Neo,2013,"3,75,000","55,000 kms",Diesel
Honda Amaze,2013,"2,84,999","46,000 kms",Diesel
Hyundai Eon Sportz,2012,"1,78,000","30,000 kms",Petrol
Tata Sumo Gold Select Variant,2013,"3,00,000","50,000 kms",Diesel
Maruti Suzuki Wagon R 1.0,2003,"90,000","45,000 kms",Petrol
Maruti Suzuki Esteem VXi BS III,2006,"95,000","45,000 kms",Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,2015,"2,55,000","9,300 kms",Petrol
Chevrolet Enjoy 1.4 LS 8 STR,2013,"2,45,000","55,000 kms",Diesel
Hyundai i20 Asta 1.4 CRDI 6 Speed,2012,"3,29,500","36,200 kms",Diesel
Ford Figo Diesel EXI,2014,"1,95,000","50,000 kms",Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,2015,"2,51,111","55,000 kms",Petrol
Maruti Suzuki Ertiga ZXi,2014,"5,69,999","45,000 kms",Petrol
Maruti Suzuki Esteem LXi BS III,2007,"69,999","51,000 kms",Petrol
Maruti Suzuki Ritz VXI,2014,"2,99,999","19,000 kms",Petrol
Maruti Suzuki Dzire,2009,"2,20,000","46,000 kms",Petrol
Maruti Suzuki Ritz LDi,2013,"3,99,999","33,000 kms",Diesel
Maruti Suzuki SX4 ZXI MT,2010,"2,49,999","36,000 kms",Petrol
Maruti Suzuki Wagon R 1.0 VXi,2015,"2,89,999","22,000 kms",Petrol
Mini Cooper S 1.6,2013,"18,91,111","13,500 kms",Petrol
Nissan Terrano XL D Plus,2015,"4,99,999","60,000 kms",Diesel
Renault Duster 85 PS RxE Diesel,2013,"4,89,999","27,000 kms",Diesel
Renault Duster 85 PS RxE Diesel,2014,"4,89,999","59,000 kms",Diesel
Renault Duster 85 PS RxL Diesel,2015,"5,49,999","19,000 kms",Diesel
Maruti Suzuki Dzire ZXI,2013,"3,80,000","30,000 kms",Petrol
Renault Kwid RXT Opt,2018,"3,25,000","15,000 kms",Petrol
Maruti Suzuki Maruti 800 Std,2003,"57,000","56,758 kms",Petrol
Renault Kwid 1.0 RXT AMT,2018,"3,49,999","10,000 kms",Petrol
Renault Lodgy 85 PS RXL,2018,"6,89,999","20,000 kms",Diesel
Renault Scala RxL Diesel,2014,"3,49,999","49,000 kms",Diesel
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,2014,"4,10,000","41,000 kms",Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2011,"2,25,000","45,000 kms",Petrol
Chevrolet Beat LS Petrol,2010,"1,20,000","43,000 kms",Petrol
Tata Indigo eCS LX TDI BS III,2016,"3,20,000","1,75,430 kms",Diesel
Hyundai Santro Xing XO eRLX Euro III,2000,"59,000","56,450 kms",Petrol
Hyundai Fluidic Verna 1.6 CRDi SX,2015,"5,40,000","38,000 kms",Diesel
"Commercial , DZire LDI, 2016, for sale",...,Ask For Price,,
Chevrolet Beat LS Petrol,2010,"80,000","56,000 kms",Petrol
Mahindra Quanto C8,2013,"3,40,000","37,000 kms",Diesel
Fiat Petra ELX 1.2 PS,2008,"75,000","65,000 kms",Petrol
Chevrolet Beat LS Petrol,2015,"2,20,000","32,700 kms",Petrol
Skoda Fabia 1.2L Diesel Ambiente,2011,"1,59,500","38,200 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,2016,"5,99,000","30,000 kms",Diesel
