name,year,Price,kms_driven,fuel_type
Tata Indigo eCS LX CR4 BS IV,2016,"2,30,000","1,04,000 kms",Diesel
Tata Indigo Marina LS,2004,"1,80,000","70,000 kms",Diesel
Commercial Chevrolet Sail Hatchback ca,o...,"2,25,000",,
Hyundai Xcent SX 1.2,2015,"4,00,000","43,000 kms",Diesel
Hyundai Eon Magna Plus,2013,"1,85,000","23,000 kms",Petrol
Renault Duster 85 PS RxL Diesel,2015,"3,85,000","51,000 kms",Diesel
Maruti Suzuki Alto K10 LXi CNG,2009,"90,000","62,000 kms",Petrol
Tata Nano LX Special Edition,2010,"32,000","48,008 kms",Petrol
Commercial Car Ta,Zest,"3,71,500",,
Renault Duster 110 PS RxZ Diesel,2013,"4,35,000","39,000 kms",Diesel
Maruti Suzuki Wagon R AX BSIV,2010,"2,25,000","40,000 kms",Petrol
Maruti Suzuki Swift,2006,"1,89,700","48,247 kms",Petrol
Maruti Suzuki Ertiga,2012,"3,89,700","39,000 kms",Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,2014,"3,65,000","23,000 kms",Petrol
Maruti Suzuki Alto K10 New,2017,"3,60,000","9,400 kms",Petrol
Hyundai i20 Magna,2010,"2,10,000","50,000 kms",Petrol
Hyundai i10 Magna 1.2,2009,"1,70,000","75,000 kms",Petrol
tata Indica,sale,"1,30,000",,
Tata Zest XE 75 PS Diesel,2017,"3,80,000","70,000 kms",Diesel
Mahindra Xylo E8,2009,"2,95,000","64,000 kms",Diesel
Toyota Corolla Altis GL Petrol,2010,"1,85,000","55,000 kms",Petrol
Tata Manza Aqua Quadrajet,2014,"1,60,000","2,00,000 kms",Diesel
Mahindra KUV100 K8 D 6 STR,2018,Ask For Price,"7,500 kms",Diesel
Used bt new conditions ta,Zest,"2,55,000",,
Renault Kwid 1.0,2018,"2,90,000","2,137 kms",Petrol
Sale tata,ture,"1,00,000",,
Tata Venture EX 8 STR,2013,"1,00,000","30,000 kms",Diesel
Maruti Suzuki Swift Dzire Tour LXi,2014,"3,15,000","44,000 kms",Petrol
Maruti Suzuki Alto LX BSII,2002,Ask For Price,"56,000 kms",Petrol
Skoda Octavia Classic 1.9 TDI MT,2006,"1,14,990","65,000 kms",Diesel
Maruti Suzuki Omni LPG BS IV,2012,"1,20,000","1,60,000 kms",LPG
Chevrolet Beat Diesel,2011,"1,25,000","56,000 kms",Diesel
Tata Sumo Gold EX BS IV,2012,"2,10,000","75,000 kms",Diesel
Tata indigo 2017 top model..,emi,"1,70,000",,
Hyundai Verna 1.6 CRDI SX,2018,"8,55,000","42,000 kms",Diesel
Tata Sumo Gold EX BS IV,2012,"2,10,000","75,000 kms",Diesel
Mahindra Scorpio 2.6 CRDe,2007,"2,60,000","56,000 kms",Diesel
Maruti Suzuki Zen LXi BS III,2002,"95,000","10,544 kms",Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2011,"2,55,000","64,000 kms",Petrol
Mahindra Scorpio SLX 2.6 Turbo 8 Str,2008,"3,00,000","70,000 kms",Diesel
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2014,"3,40,000","25,000 kms",Petrol
Hyundai Elite i20 Sportz 1.2,2017,"5,50,000","15,000 kms",Petrol
Ford Ikon 1.6 Nxt,2003,"60,000","50,000 kms",Petrol
Hyundai Elite i20 Sportz 1.2,2015,Ask For Price,"49,500 kms",Petrol
Tata indigo,car,"1,50,000",,
Toyota Innova 2.5 V 7 STR,2011,"7,50,000","1,47,000 kms",Diesel
Nissan Sunny XL,2011,"2,30,000","52,000 kms",Petrol
Chevrolet Beat LT Diesel,2012,"1,30,000","90,001 kms",Diesel
Maruti Suzuki Alto 800 Lxi,2017,"2,70,000","21,000 kms",Petrol
Maruti Suzuki Swift VDi BS IV,2012,"2,80,000","48,006 kms",Diesel
Maruti Suzuki Swift VDi BS IV,2012,"2,80,000","48,006 kms",Diesel
Maruti Suzuki Swift,2012,"2,80,000","48,006 kms",Diesel
very good condition tata bolts are av,able,"2,00,000",,
Toyota Innova 2.0 G4,2012,"6,00,000","80,000 kms",Diesel
Sale Hyundai xcent commerc,no.,Ask For Price,,
Maruti Suzuki Swift VDi ABS,2010,"1,90,000","74,000 kms",Diesel
Hyundai Elite i20 Asta 1.2,2015,"5,00,000","22,000 kms",Petrol
Mahindra XUV500 W10,2016,"10,65,000","41,000 kms",Diesel
Volkswagen Polo Trendline 1.5L D,2015,"3,50,000","25,000 kms",Diesel
Toyota Etios Liva Diesel,2012,"3,50,000","85,000 kms",Diesel
Mahindra TUV300 T4 Plus,2016,"5,40,000","29,500 kms",Diesel
Hyundai Elite i20 Asta 1.2,2015,"4,70,000","30,000 kms",Petrol
Hyundai Santro Xing GLS,2014,"1,79,000","57,000 kms",Petrol
Maruti Suzuki Zen LXi BS III,2003,"48,000","60,000 kms",Petrol
Maruti Suzuki Ciaz ZXi Plus RS,2016,"6,50,000","50,000 kms",Petrol
Hyundai Eon Era Plus,2013,"1,90,000","39,700 kms",Petrol
Hyundai Elantra 1.8 S,2012,"5,00,000","65,000 kms",Petrol
Maruti Suzuki Swift VDi,2010,"2,70,000","67,000 kms",Diesel
Maruti Suzuki Zen Estilo LXI Green CNG,2008,"1,25,000","46,000 kms",Petrol
Hyundai Eon Era Plus,2012,"1,88,000","38,000 kms",Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,2016,"3,80,000","27,000 kms",Petrol
Hyundai Verna Fluidic New,2011,"3,65,000","43,000 kms",Diesel
Ford EcoSport Trend 1.5L Ti VCT,2014,"4,65,000","47,000 kms",Petrol
Hyundai i20 Magna,2011,"2,40,000","42,000 kms",Petrol
Chevrolet Beat Diesel,2016,"1,79,999","19,336 kms",Diesel
Tata Indica eV2 LS,2015,"1,40,000","60,105 kms",Diesel
Jaguar XF 2.2 Diesel Luxury,2013,"21,90,000","29,000 kms",Diesel
Audi Q5 2.0 TDI quattro Premium Plus,2014,"23,90,000","34,000 kms",Diesel
BMW 3 Series 320d Sedan,2011,"10,75,000","35,000 kms",Diesel
Maruti Suzuki Swift ZXi 1.2 BS IV,2015,"4,75,000","22,000 kms",Petrol
BMW X1 sDrive20d,2012,"10,25,000","41,000 kms",Diesel
Maruti Suzuki S Cross Sigma 1.3,2016,"6,15,000","21,000 kms",Diesel
Maruti Suzuki Ertiga LDi,2013,"4,75,000","48,000 kms",Diesel
Maruti Suzuki Alto K10 VXi AMT,2016,"2,70,000","38,000 kms",Petrol
Honda City SV,2014,"4,75,000","34,000 kms",Diesel
Volkswagen Vento Comfortline Petrol,2011,"2,40,000","45,933 kms",Petrol
Honda City 1.5 EXi New,2005,"1,20,000","68,000 kms",Petrol
Audi A4 2.0 TDI 177bhp Premium,2016,"19,00,000","44,000 kms",Diesel
Mahindra KUV100,2017,"3,60,000","35,000 kms",Diesel
Tata Zest XE 75 PS Diesel,2018,"4,50,000","1,02,563 kms",Diesel
Mahindra XUV500 W8,2015,"9,00,000","28,600 kms",Diesel
Maruti Suzuki Swift Dzire Tour VDi,2017,"6,50,000","41,800 kms",Diesel
Tata Sumo Gold LX BS IV,2014,"2,75,000","1,16,000 kms",Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2009,"2,10,000","59,000 kms",Petrol
Mahindra Scorpio 2.6 SLX,2004,"1,75,000","58,000 kms",Diesel
Maruti Suzuki Omni 8 STR BS III,2009,"85,000","45,000 kms",Petrol
Mitsubishi Pajero Sport Limited Edition,2015,"14,90,000","42,590 kms",Diesel
Renault Duster,2014,"8,00,000","7,400 kms",Diesel
Volkswagen Jetta Comfortline 1.9 TDI AT,2009,"4,50,000","54,500 kms",Diesel
Maruti Suzuki Ertiga Vxi,2012,"10,00,000","2,00,000 kms",Diesel
Audi A4 2.0 TDI 177bhp Premium,2013,"15,10,000","27,000 kms",Diesel
Volvo S80 Summum D4,2015,"18,50,000","42,000 kms",Diesel
Toyota Corolla Altis VL AT Petrol,2014,"7,90,000","29,000 kms",Petrol
Mitsubishi Pajero Sport 2.5 AT,2015,"17,25,000","37,000 kms",Diesel
Chevrolet Beat LT Petrol,2012,"1,35,000","36,000 kms",Petrol
BMW X1,2011,"10,00,000","34,000 kms",Diesel
Datsun Redi GO S,2018,"2,99,999","7,000 kms",Petrol
Mercedes Benz C Class C 220 CDI Avantgarde,2009,"12,25,000","76,000 kms",Diesel
Mahindra Scorpio SLX,2004,"1,75,000","60,000 kms",Diesel
Volkswagen Vento Comfortline Diesel,2011,"2,00,000","95,000 kms",Diesel
Tata Indigo CS GLS,2017,"2,70,000","50,000 kms",Diesel
Ford Figo Petrol Titanium,2019,"5,25,000",00 kms,Petrol
Honda City ZX GXi,2006,"1,80,000","50,000 kms",Petrol
Maruti Suzuki Wagon R Duo Lxi,2008,"1,40,000","68,000 kms",Petrol
Ford EcoSport Trend 1.5L TDCi,2014,"4,00,000","16,000 kms",Petrol
Maruti Suzuki Swift Dzire VDi,2016,"4,99,000","51,000 kms",Diesel
Maruti Suzuki Omni 8 STR BS III,2009,"85,000","56,000 kms",Petrol
Maruti Suzuki Zen LX BSII,2004,"70,000","1,00,000 kms",Petrol
Renault Duster RxL Petrol,2015,"5,50,000","36,000 kms",Petrol
Maruti Suzuki Swift VXi 1.2 BS IV,2014,"3,70,000","11,523 kms",Petrol
Maruti Suzuki Baleno Zeta 1.2,2018,"6,90,000","1,000 kms",Petrol
Honda WR V S MT Petrol,2009,"2,50,000","60,000 kms",Petrol
Tata Indigo CS eLX BS IV,2016,"1,10,000","85,000 kms",Diesel
Renault Duster 110 PS RxL Diesel,2013,"4,90,000","38,600 kms",Diesel
Mahindra Scorpio LX BS III,2009,"3,20,000","95,500 kms",Diesel
Maruti Suzuki Zen LXi BS III,2004,"68,000","56,000 kms",Petrol
Maruti Suzuki Wagon R LXi BS III,2014,"1,30,000","37,458 kms",Petrol
Maruti Suzuki SX4 Celebration Diesel,2016,"9,70,000","85,960 kms",Diesel
Audi A3 Cabriolet 40 TFSI,2015,"31,00,000","12,516 kms",Petrol
Hyundai Eon D Lite Plus,2018,"2,80,000","35,000 kms",Petrol
Maruti Suzuki Zen Estilo LXI Green CNG,2009,"1,25,000",00 kms,Petrol
Mahindra Scorpio SLX,2008,"2,85,000","80,000 kms",Diesel
I want to sell my commercial car due t,o...,"4,75,000",,
Hyundai Santro AE GLS Audio,2011,"1,65,000","45,000 kms",Petrol
i want sale my car.no emi....uber atta,d...,"3,20,000",,
Maruti Suzuki Swift Dzire Tour VDi,2009,"2,50,000","51,000 kms",Diesel
Mahindra Scorpio S4,2015,"8,65,000","30,000 kms",Diesel
Tata ZEST 6 month old,car,"3,70,000",,
Mahindra Xylo D2 BS IV,2011,"3,90,000","48,000 kms",Diesel
Hyundai Santro,2003,"60,000","51,000 kms",Petrol
Chevrolet Beat LT Diesel,2015,"2,15,000","90,000 kms",Diesel
Maruti Suzuki Swift Dzire VDi,2015,"4,75,000","43,000 kms",Diesel
Mahindra XUV500 W8,2015,"8,99,000","53,000 kms",Diesel
Toyota Fortuner 3.0 4x4 MT,2013,"14,99,000","97,000 kms",Diesel
Maruti Suzuki Alto K10 VXi,2013,"2,40,000","20,000 kms",Petrol
Hyundai Getz GLE,2007,"99,000","55,000 kms",Petrol
Maruti Suzuki Swift Dzire Tour LDi,2014,"2,60,000","1,20,000 kms",Diesel
Hyundai Creta 1.6 SX,2019,"12,00,000",0 kms,Petrol
Hyundai Santro Xing XL AT eRLX Euro III,2007,"1,15,000","46,000 kms",Petrol
Hyundai Santro Xing XL eRLX Euro III,2009,"88,000","43,200 kms",Petrol
Mahindra Xylo D2 BS IV,2011,"3,90,000","56,000 kms",Diesel
Hyundai Santro Xing XL eRLX Euro III,2007,"1,35,000","42,000 kms",Petrol
Tata Indica V2 DLS BS III,2009,"90,000","30,600 kms",Diesel
Hyundai i10 Sportz 1.2,2011,"2,20,000","38,000 kms",Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,2017,"4,24,999","2,550 kms",Petrol
Hyundai Santro Xing XL AT eRLX Euro III,2007,"1,35,000","47,000 kms",Petrol
Honda City 1.5 E MT,2005,"95,000","41,000 kms",Petrol
Nissan Micra XL,2017,"4,30,000","62,500 kms",Diesel
Honda City 1.5 S Inspire,2005,"1,15,000","68,000 kms",Petrol
Maruti Suzuki Alto 800 Lxi,2015,"2,15,000","50,000 kms",Petrol
Maruti Suzuki Wagon R LX BS III,2004,"53,000","69,000 kms",Petrol
Maruti Suzuki Ertiga VDi,2012,"5,00,000","48,000 kms",Diesel
Tata Indica eV2 eXeta eGLX,2012,"85,000","55,000 kms",Diesel
Maruti Suzuki Omni E 8 STR BS IV,2013,"1,65,000","25,000 kms",Petrol
Hyundai Eon Era Plus,2014,"2,00,000","28,400 kms",Petrol
Hyundai Eon,2014,"2,00,000","28,000 kms",Petrol
Maruti Suzuki Swift LDi,2015,"4,25,000","42,000 kms",Diesel
MARUTI SUZUKI ERTIGA F,SALE,"6,50,000",,
Hyundai Verna 1.6 CRDI SX Plus AT,2012,"6,00,000","29,000 kms",Diesel
Chevrolet Tavera LS B3 10 Seats BSII,2005,"1,30,000","68,485 kms",Diesel
Tata Tiago Revotron XM,2018,"4,30,000","3,500 kms",Petrol
Tata Tiago Revotorq XZ,2019,"5,68,500",0 kms,Petrol
Tata Nexon,2019,Ask For Price,0 kms,Petrol
Tata,digo,Ask For Price,,
Maruti Suzuki Zen LXi BS III,2006,"71,000","32,000 kms",Petrol
Mahindra KUV100 K8 D 6 STR,2018,"5,60,000","8,000 kms",Diesel
Ford EcoSport Titanium 1.5 TDCi,2014,"5,90,000","34,000 kms",Diesel
Hindustan Motors Ambassador Classic Mark 4 – Befo,1995,"7,50,000","37,000 kms",Petrol
Ford Fusion 1.4 TDCi Diesel,2007,"1,25,000","85,455 kms",Diesel
Hyundai Santro Xing XL AT eRLX Euro III,2007,"1,35,000","46,000 kms",Petrol
Hyundai Santro,2002,"60,000","47,000 kms",Petrol
Fiat Linea Emotion 1.4 L T Jet Petrol,2009,"1,20,000","64,000 kms",Petrol
Ford Ikon 1.3 Flair Josh 100,2008,"95,000","46,000 kms",Petrol
Maruti Suzuki Omni E 8 STR BS IV,2017,"2,40,000","8,000 kms",Petrol
Tata Indica V2 LS,2012,"1,15,000","64,000 kms",Diesel
Mahindra Scorpio S4,2015,"7,95,000","63,000 kms",Diesel
Hyundai Santro Xing XL eRLX Euro III,2007,"55,000","65,000 kms",Petrol
Mahindra Xylo D2,2009,"3,00,000","62,000 kms",Diesel
Hyundai Grand i10 Asta 1.2 Kappa VTVT,2014,"3,20,000","41,000 kms",Petrol
Maruti Suzuki Alto 800 Lxi,2015,"2,65,000","14,000 kms",Petrol
Toyota Corolla,2006,"1,60,000","40,000 kms",Petrol
Hyundai Eon Magna,2017,"3,00,000","1,600 kms",Petrol
Tata Sumo Grande MKII GX,2010,"1,30,000","90,000 kms",Diesel
Maruti Suzuki Swift VDi,2011,"2,50,000","58,000 kms",Diesel
Volkswagen Polo Highline1.2L P,2013,"3,80,000","27,000 kms",Petrol
Maruti Suzuki Alto 800 Lx,2003,"42,000","60,000 kms",Petrol
Tata Tiago Revotron XZ,2017,"4,00,000","31,000 kms",Petrol
Maruti Suzuki Swift LDi,2009,"1,20,000","90,000 kms",Diesel
Maruti Suzuki Swift VDi,2009,"1,20,000","90,000 kms",Diesel
Tata Indigo eCS,2016,"1,30,000","1,50,000 kms",Diesel
Chevrolet Beat LS Diesel,2014,"1,89,000","31,000 kms",Diesel
2012 Tata Sumo Gold f,sell,"2,50,000",,
Mahindra Xylo E8 BS IV,2011,"3,65,000","43,000 kms",Diesel
Hyundai Eon D Lite Plus,2013,"1,70,000","20,000 kms",Petrol
Well mentained Tata Sumo,d Ex,"3,80,000",,
all paper updated tata indica v2 and u,n...,"1,45,000",,
Maruti Ertiga showroom condition with,e...,"4,80,000",,
7 SEATER MAHINDRA BOLERO IN VERY GOOD,D...,Ask For Price,,
9 SEATER MAHINDRA BOL,", Ac",Ask For Price,,
scratch less Tata I,go .,"1,40,000",,
Maruti Suzuki swift dzire for sale in,d...,"3,60,000",,
Commercial Chevrolet beat for sale in,k...,"1,80,000",,
urgent sell my Mahindra qu,o c4,"3,50,000",,
Tata Sumo Gold FX BSIII,2013,"2,15,000","1,00,000 kms",Petrol
sell my car Maruti Suzuki Swif,zire,"3,00,000",,
Maruti Suzuki Swift Dzire good car fo,o...,"3,10,000",,
Hyunda,cent,Ask For Price,,
Commercial Maruti Suzuki Alto Lxi 800,...,Ask For Price,,
urgent sale Ta,Sumo,"2,20,000",,
Maruti Suzuki Alto vxi t,cab,"95,000",,
tata,t xe,Ask For Price,,
TATA INDI,EV2,"1,10,000",,
Tata Nano,2013,"60,000","7,000 kms",Petrol
Hyundai Elite i20,2017,"5,99,999","31,000 kms",Petrol
Hyundai i10 Magna 1.2 Kappa2,2009,"4,00,000","33,000 kms",Petrol
Hyundai Creta,2016,"9,00,000","60,000 kms",Diesel
Volkswagen Polo,2013,"2,99,999","48,000 kms",Diesel
Maruti Suzuki Dzire,2014,"3,74,999","33,000 kms",Petrol
Tata Bolt XM Petrol,2015,"6,00,000","15,000 kms",Petrol
Maruti Suzuki Alto 800 Lx,2005,"70,000","47,000 kms",Petrol
Maruti Suzuki Alto,2005,"1,00,000","40,000 kms",Petrol
Hyundai Venue,2019,Ask For Price,"7,000 kms",Diesel
Maruti Suzuki Ritz,2010,"1,50,000","38,000 kms",Diesel
Maruti Suzuki Alto 800 Lxi,2017,"2,25,000","12,500 kms",Petrol
Maruti Suzuki Dzire,2009,"2,10,000","42,000 kms",Petrol
Renault Lodgy,2016,Ask For Price,"20,000 kms",Diesel
Hyundai i20 Asta,2014,"4,25,000","31,000 kms",Petrol
Maruti Suzuki Swift Select Variant,2008,"1,62,000","60,000 kms",Diesel
Tata Indica V2 DLX BS III,2005,"60,000","80,000 kms",Diesel
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,2014,"6,50,000","77,000 kms",Diesel
Toyota Innova 2.5 E 8 STR,2012,"7,50,000","75,000 kms",Diesel
Mahindra Xylo E8,2010,"3,75,000","40,000 kms",Diesel
Hyundai i20 Magna 1.2,2011,"2,30,000","47,000 kms",Petrol
Maruti Suzuki Omni,2000,"35,999","60,000 kms",Petrol
Mahindra KUV100,2016,"3,80,000","26,500 kms",Petrol
Mahindra KUV100 K8 6 STR,2019,"5,60,000","2,875 kms",Petrol
Datsun Go Plus,2016,"2,85,000","13,900 kms",Petrol
Ford Endeavor 4x4 Thunder Plus,2019,"29,00,000","9,000 kms",Diesel
Tata Indica V2,2005,"39,999","80,000 kms",Diesel
Hyundai Santro Xing GL,2006,"85,000","60,000 kms",Petrol
Maruti Suzuki Wagon R 1.0 VXi,2016,"3,95,000","20,000 kms",Petrol
Maruti Suzuki Swift Select Variant,2008,"1,75,000","58,000 kms",Diesel
Maruti Suzuki Alto 800 Lx,2019,"4,00,000","1,500 kms",Petrol
Toyota Innova 2.5 Z Diesel 7 Seater,2011,"7,50,000","75,000 kms",Diesel
Any type car avaiabel hare...comercica,r...,"1,70,000",,
Maruti Suzuki Alto 800,2016,"2,50,000","2,450 kms",Petrol
Maruti Suzuki Alto AX,2019,"4,25,000","1,625 kms",Petrol
Maruti Suzuki Alto 800 Lx,2019,Ask For Price,"1,500 kms",Petrol
Volkswagen Polo Highline1.2L P,2017,"5,25,000","45,000 kms",Petrol
Mahindra Logan,2009,"1,30,000","65,000 kms",Diesel
Maruti Suzuki 800 Std BS III,2000,"30,000","33,400 kms",Petrol
Mahindra Scorpio,2011,"4,75,000","60,123 kms",Diesel
Chevrolet Sail 1.2 LS,2013,"3,00,000","28,000 kms",Petrol
Volkswagen Vento Highline Plus 1.5 Diesel,2015,Ask For Price,"38,900 kms",Diesel
Hyundai Santro AE GLS Audio,2003,"60,000","70,000 kms",Petrol
Maruti Suzuki Wagon R VXi Minor,2006,"1,00,000","7,000 kms",Petrol
Hyundai Eon,2018,"2,60,000","25,000 kms",Petrol
Tata Manza,2015,"1,00,000","1,00,000 kms",Diesel
Toyota Innova 2.0 G1 Petrol 8seater,2019,Ask For Price,"4,000 kms",Petrol
Toyota Etios G,2013,"2,65,000","42,000 kms",Petrol
Hyundai Getz Prime 1.3 GLX,2009,"1,15,000","20,000 kms",Petrol
Toyota Qualis,2003,"1,80,000","1,00,000 kms",Diesel
Hyundai Santro Xing,2004,"45,000","1,37,495 kms",Petrol
Tata Indica eV2 LS,2016,"50,500","91,200 kms",Diesel
Honda City 1.5 S MT,2009,"2,70,000","55,000 kms",Petrol
Tata Zest XE 75 PS Diesel,2017,"2,90,000","1,20,000 kms",Diesel
Mahindra Quanto C4,2013,"3,25,000","63,000 kms",Diesel
Tata Indigo eCS LX CR4 BS IV,2016,"1,60,000","1,04,000 kms",Diesel
Maruti Suzuki Swift Dzire,2016,"3,50,000","1,46,000 kms",Diesel
Hyundai Elite i20,2011,"2,90,000","40,000 kms",Petrol
Hyundai i20 Select Variant,2011,"2,90,000","40,000 kms",Petrol
Chevrolet Tavera Neo,2007,"4,65,000","1,00,800 kms",Diesel
Maruti Suzuki Dzire,2016,"3,25,000","1,50,000 kms",Diesel
Hyundai Elite i20,2018,"5,10,000","2,100 kms",Petrol
Honda City VX Petrol,2016,"8,60,000","95,000 kms",Petrol
Maruti Suzuki Dzire,2016,"4,50,000","2,500 kms",Diesel
Hyundai Getz,2006,"1,25,000","80,000 kms",Petrol
Mercedes Benz C Class 200 K MT,2006,"5,00,001","15,000 kms",Petrol
Maruti Suzuki Alto LXi BS III,2005,"95,000","65,000 kms",Petrol
Maruti Suzuki Swift Dzire Tour VDi,2009,"2,50,000","51,000 kms",Diesel
Skoda Fabia,2009,"1,10,000","45,000 kms",Petrol
Maruti Suzuki Alto 800 Select Variant,2015,Ask For Price,"70,000 kms",Petrol
Maruti Suzuki Ritz VXI ABS,2011,"2,70,000","50,000 kms",Petrol
tata zest 2017 f,sale,"4,50,000",,
Tata Indica V2 DLE BS III,2009,"1,10,000","30,000 kms",Diesel
Toyota Corolla Altis,2009,"3,00,000","1,32,000 kms",Petrol
Ta,zest,"3,10,000",,
Tata Zest XM Diesel,2018,"2,60,000","27,000 kms",Diesel
Mahindra Quanto C8,2013,"3,90,000","40,000 kms",Diesel
Honda Amaze 1.2 E i VTEC,2014,"1,80,000",Petrol,
Chevrolet Sail 1.2 LT ABS,2014,"1,60,000",Petrol,
